run_name,period_um,crystal_length_um,half_period_um,domain_segments,final_domain_length_um,pump_energy_uJ,pump_gdd_fs2,pump_centre_nm,seed_centre_um,seed_energy_nJ,input_file
PPLN_FIXED_17um,17.0,500.0,8.5,59,7.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_17um.txt
PPLN_FIXED_18um,18.0,500.0,9.0,56,5.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_18um.txt
PPLN_FIXED_19um,19.0,500.0,9.5,53,6.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_19um.txt
PPLN_FIXED_20um,20.0,500.0,10.0,50,10.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_20um.txt
PPLN_FIXED_21um,21.0,500.0,10.5,48,6.5,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_21um.txt
PPLN_FIXED_22um,22.0,500.0,11.0,46,5.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_22um.txt
PPLN_FIXED_23um,23.0,500.0,11.5,44,5.5,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_23um.txt
PPLN_FIXED_24um,24.0,500.0,12.0,42,8.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_24um.txt
PPLN_FIXED_25um,25.0,500.0,12.5,40,12.5,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_25um.txt
PPLN_FIXED_26um,26.0,500.0,13.0,39,6.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_26um.txt
PPLN_FIXED_27um,27.0,500.0,13.5,38,0.5,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_27um.txt
PPLN_FIXED_28um,28.0,500.0,14.0,36,10.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_28um.txt
PPLN_FIXED_29um,29.0,500.0,14.5,35,7.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_29um.txt
PPLN_FIXED_30um,30.0,500.0,15.0,34,5.0,0.024999999999999998,-500.0,800.001222180712,5.35343675,10.0,inputs/PPLN_FIXED_30um.txt
