stage,period_um,dt_fs,dx_um,dz_um,reference_energy_pJ,candidate_energy_pJ,energy_error_pct,spectral_L1_error_700_1600_pct,result
phase1,21.75,0.45,6,0.50,1195.211173,1195.261693,0.004227,0.004679,pass
phase1,21.75,0.45,6,1.00,1195.211173,1196.323814,0.093092,0.127842,pass
phase1,21.75,0.45,8,0.25,1195.211173,1196.052354,0.070379,0.034240,pass
phase1,21.75,0.45,12,0.25,1195.211173,1198.443765,0.270462,0.131972,pass
phase1,21.75,0.50,6,0.25,1195.211173,1193.409186,0.150767,0.041372,pass
phase1,21.75,0.60,6,0.25,1195.211173,1193.462012,0.146347,0.042113,pass
phase2,21.75,0.60,12,1.00,1195.211173,1197.793761,0.216078,0.266336,pass
phase2,23.00,0.60,12,1.00,600.206145,607.894975,1.281032,0.247577,fail
phase3,23.00,0.60,8,1.00,600.206145,606.682670,1.079050,0.153620,fail
phase3,23.00,0.60,6,1.00,600.206145,606.256242,1.008003,,fail
final,23.00,0.60,6,0.50,600.206145,605.861605,0.942253,0.041465,pass
final,21.75,0.60,6,0.50,1195.211173,1193.509819,0.142348,0.045162,pass
